POST_ID,POST_TOPIC_TAGS,POST_CROP_TAGS,POST_TYPE
65277fb4-5cf4-454f-a721-3fc99800995e,"[
  [
    ""Agriculture News"",
    ""Government Schemes""
  ]
]",[],content
af37b112-7554-4e65-ab18-1790516df763,"[
  [
    ""animal protection"",
    ""animal husbandry""
  ]
]",[],infographic
49415262-b0b9-4c80-a3f9-8fa43e70ef90,"[
  [
    ""quiz""
  ]
]",[],infographic
a9eb4ad8-c6da-415a-9325-10fe624524d4,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
e040cb0f-c94b-4d32-8d1d-8fd21abb5053,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""onion""
  ]
]",content
706cd899-dbb7-462c-9300-070c904ada6f,"[
  [
    ""seeds""
  ]
]","[
  [
    ""Sugarcane""
  ]
]",infographic
90eafbc4-8234-4524-8279-474f6a6f5180,"[
  [
    ""Fertilizer""
  ]
]","[
  [
    ""potato""
  ]
]",infographic
9764aa22-6925-4982-a7ad-0eba92758bf5,"[
  [
    ""Agriculture News""
  ]
]",[],content
acf55dab-7940-4075-b5e0-d84000634ec6,"[
  [
    ""Agriculture News""
  ]
]",[],content
9a053074-4a01-4a56-bcd0-1c93c7969412,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""Radish""
  ]
]",content
84cb4053-b5ed-49d7-b10e-9ad41fa64eb2,"[
  [
    ""Agriculture News""
  ]
]",[],content
225e082d-8c2d-43cc-8b98-03a77f90ce9f,"[
  [
    ""farm machinery""
  ]
]",[],content
23ac02b4-587c-4c93-9192-a864fb060ae9,[],"[
  [
    ""Wheat""
  ]
]",content
50c343a5-0994-4a32-9cd7-7e154882044e,"[
  [
    ""Success Story""
  ]
]",[],content
960bc911-f17f-45b3-80f0-88e843f4863e,"[
  [
    ""animal husbandry""
  ]
]",[],content
4af076da-80d1-4512-8773-59a5f4874491,"[
  [
    ""animal husbandry""
  ]
]",[],infographic
8156c7bd-badf-4919-be01-38135b1c0ecf,"[
  [
    ""buy-sell""
  ]
]","[
  [
    ""Wheat""
  ]
]",video
1f9abe36-20f9-4ff9-b0de-abe2dc1d3aa3,"[
  [
    ""animal protection"",
    ""animal husbandry""
  ]
]",[],content
e85b9e9d-fa2a-4ee7-a0bc-d5096dd28dfd,"[
  [
    ""Fasal Protection""
  ]
]","[
  [
    ""chilli""
  ]
]",content
46d450e6-f820-43fb-8ca8-d09a9cdced51,"[
  [
    ""Mandi Rates""
  ]
]",[],video
6d017633-8a10-4a76-a1ef-1cce00cdac45,"[
  [
    ""farm machinery"",
    ""buy-sell""
  ]
]",[],infographic
